i,d,n,th,p,v,la,lo,sc,st,cm,cn,xs,sat,sta,tp,vf
"BD-5026","Rajshahi","ULAB recycling and breaking work","Bera","17406","high","23.99624","89.64273","0","0","","—","43.5","false","assessed","",""
"BD-5343","—","ULAB breaking and smelting works","Gobindaganj","17320","high","25.11256","89.49057","0","0","","—","43.3","false","assessed","",""
"BD-4812","Khulna","Baganbari Battery Works","Baganbari Battery Wo","16562","high","22.82097","89.5549","0","0","","—","41.4","false","assessed","",""
"BD-4839","Khulna","Bashbari Lead Smelting Site","Bashbari Lead Smelti","16354","high","22.77986","89.50608","0","0","","—","40.9","false","assessed","",""
"BD-5453","Dhaka","Asia Battery (BD) Ltd","Shibpur","14074","high","24.00817","90.73698","0","0","","—","35.2","false","assessed","",""
"BD-4947","Rajshahi","Lead Battery Breaking and Smelti","Vudhghora","13608","high","24.85332","89.46596","0","0","","—","34","false","assessed","",""
"BD-8154","Dhaka","Gold Recycling from Jewelry Ashe","Haria","13222","high","24.03726","90.08989","0","0","","—","33.1","false","assessed","",""
"BD-7406","Rajshahi","ULAB breaking and smelting works","Mominpur","13131","high","25.79557","89.10766","0","0","","—","32.8","false","assessed","",""
"BD-5094","Rajshahi","ULAB recycling and breaking work","Bera","11972","high","23.98846","89.6485","0","0","","—","29.9","false","assessed","",""
"BD-5312","Rajshahi","ULAB breaking and smelting works","Gobindaganj","11942","high","25.10947","89.47346","0","0","","—","29.9","false","assessed","",""
"BD-5550","Dhaka","Gaston Battery Limited","Sonargaon","11700","high","23.73846","90.59538","0","0","","—","29.2","false","assessed","",""
"BD-5368","Rajshahi","ULAB breaking and smelting works","Nilphamari Sadar","11602","high","25.95411","88.97281","0","0","","—","29","false","assessed","",""
"BD-8132","Dhaka","Gold Recycling from Jewellery As","Singair","10478","high","23.80038","90.13512","0","0","","—","26.2","false","assessed","",""
"BD-5350","Rajshahi","Lead Battery Smelting","Gossogram","10419","high","25.28145","89.23301","0","0","","—","26","false","assessed","",""
"BD-5203","Dhaka","ULAB recycling and smelting work","Madaripur Sadar","10285","high","23.24494","90.15757","0","0","","—","25.7","false","assessed","",""
"BD-8108","Dhaka","Gold Recycling from Jewelry Ashe","Singair","10038","high","23.76551","90.12951","0","0","","—","25.1","false","assessed","",""
"BD-7205","Dhaka","ULAB Smelting works","Madhupur Paurashava","9897","moderate","24.63853","90.03071","0","0","","—","24.7","false","assessed","",""
"BD-5457","Dhaka","ULAB  breaking & smelting works","Shibpur","9595","moderate","24.00551","90.73015","0","0","","—","24","false","assessed","",""
"BD-5295","Rajshahi","ULAB breaking and smelting works","Gaibandha sadar","9443","moderate","25.32539","89.5084","0","0","","—","23.6","false","assessed","",""
"BD-4651","Dhaka","Rahim Afrooz Batteries Limited","Zirani Bazar","9381","moderate","23.99401","90.25868","0","0","","—","23.5","false","assessed","",""
"BD-8151","Dhaka","Gold Recycling from Jewelry Ashe","Chalkpara","9154","moderate","24.02961","90.08159","0","0","","—","22.9","false","assessed","",""
"BD-5245","Dhaka","ULAB smelting works","Rajoir","9126","moderate","23.15919","90.01912","0","0","","—","22.8","false","assessed","",""
"BD-5339","Khulna","Samad Battery Works","Chuknagar","9119","moderate","22.84423","89.29913","0","0","","—","22.8","false","assessed","",""
"BD-5015","Rajshahi","ULAB smelting works","Bera","8524","moderate","23.98967","89.6698","0","0","","—","21.3","false","assessed","",""
"BD-5294","Rajshahi","ULAB breaking and smelting works","Gaibandha sadar","8480","moderate","25.32678","89.5097","0","0","","—","21.2","false","assessed","",""
"BD-4929","Khulna","Hamko Industries Limited","Town Noapara","8421","moderate","22.73834","89.63803","0","0","","—","21.1","false","assessed","",""
"BD-5351","Rajshahi","Lead Battery Smelting","Mission Road","8075","moderate","25.19262","89.3095","0","0","","—","20.2","false","assessed","",""
"BD-4838","Khulna","Bannex Battery Manufacturing","Bannex Battery Manuf","7771","moderate","22.74703","89.09847","0","0","","—","19.4","false","assessed","",""
"BD-5254","Khulna","SB Agro Industries limited","Jhenaidaha Sadar","6916","moderate","23.53958","89.19836","0","0","","—","17.3","false","assessed","",""
"BD-4784","Rajshahi","Mondolpara Smelting Works","Bashipur","6309","moderate","24.82207","88.97261","0","0","","—","15.8","false","assessed","",""
"BD-5167","Dhaka","ULAB  recycling and smelting wor","Ghatail","5907","moderate","24.4364","89.99337","0","0","","—","14.8","false","assessed","",""
"BD-7301","Dhaka","ULAB breaking and smelting site","Kakraid union","5893","moderate","24.62004","90.07421","0","0","","—","14.7","false","assessed","",""
"BD-8109","Dhaka","Gold Recycling from Jewelry Ashe","Shingair","5841","moderate","23.76778","90.13251","0","0","","—","14.6","false","assessed","",""
"BD-5246","Dhaka","ULAB recycling and smelting work","Faridpur Sadar","5810","moderate","23.56034","89.80068","0","0","","—","14.5","false","assessed","",""
"BD-5292","Khulna","Tamim Battery Manufacturing Comp","Jhenaidah Sadar","5087","moderate","23.56525","89.19861","0","0","","—","12.7","false","assessed","",""
"BD-4951","Dhaka","ULAB recycling and smelting work","Sreepur","5009","moderate","24.26545","90.43359","0","0","","—","12.5","false","assessed","",""
"BD-5621","Dhaka","ULAB breaking and smelting works","Kishoreganj Sadar","4999","moderate","24.47528","90.7682","0","0","","—","12.5","false","assessed","",""
"BD-5348","Rajshahi","ULAB breaking and smelting works","Mithapukur","4510","moderate","25.63592","89.20424","0","0","","—","11.3","false","assessed","",""
"BD-5365","Rajshahi","ULAB breaking and smelting works","Mithapukur","4497","moderate","25.54215","89.27483","0","0","","—","11.2","false","assessed","",""
"BD-5293","Rajshahi","ULAB breaking and smelting works","Gaibandha sadar","4453","moderate","25.32502","89.51354","0","0","","—","11.1","false","assessed","",""
"BD-4909","Dhaka","ULAB recycling and smelting work","Gazipur Sadar","3957","moderate","23.95565","90.30291","0","0","","—","9.9","false","assessed","",""
"BD-5255","Dhaka","Altu Khan Jute Mills Limited (Pa","Modhukhali","3917","moderate","23.53637","89.65268","0","0","","—","9.8","false","assessed","",""
"BD-5301","Rajshahi","Nayeb Ali Lead Battery Smelting","2-Katabari","3870","moderate","25.20761","89.30825","0","0","","—","9.7","false","assessed","",""
"BD-5346","Rajshahi","ULAB breaking and smelting works","Sadullapur","3745","moderate","25.14984","89.28149","0","0","","—","9.4","false","assessed","",""
"BD-5448","Dhaka","ULAB  breaking & smelting works","Narshingdi sadar","3145","moderate","23.83298","90.67982","0","0","","—","7.9","false","assessed","",""
"BD-5131","Chittagong","Lead Battery Breaking and Smelti","Rampur","2955","moderate","23.52322","90.87834","0","0","","—","7.4","false","assessed","",""
"BD-4658","Dhaka","Rupa Metal (Aluminum & lead smel","Chanditola","2850","moderate","23.68391","90.39935","0","0","","—","7.1","false","assessed","",""
"BD-4810","Dhaka","Aluminum and Lead Recycling Fact","New Shonakanda","2663","moderate","23.66493","90.30153","0","0","","—","6.7","false","assessed","",""
"BD-8103","Dhaka","Rahim Afrooz Accumulators (Batte","Birulia","2111","moderate","23.86645","90.31052","0","0","","—","5.3","false","assessed","",""
"BD-4809","Dhaka","Avishek Metal Works","Shakta","2051","moderate","23.69661","90.32409","0","0","","—","5.1","false","assessed","",""
"BD-4923","Dhaka","ULAB recycling and smelting work","Maona","2028","moderate","24.14139","90.35464","0","0","","—","5.1","false","assessed","",""
"BD-8100","Dhaka","Saif Battery Manufacturing Facto","Pubail","1676","moderate","23.93308","90.46623","0","0","","—","4.2","false","assessed","",""
"BD-5310","Rajshahi","ULAB smelting works","Gaibandha sadar","1531","moderate","25.32489","89.50742","0","0","","—","3.8","false","assessed","",""
"BD-4835","Khulna","Lead Smelting Works","Tetultala","1518","moderate","22.75134","89.53566","0","0","","—","3.8","false","assessed","",""
"BD-4946","Rajshahi","Lead Battery Breaking and Smelti","Kamalpara","1456","moderate","25.08629","89.51718","0","0","","—","3.6","false","assessed","",""
"BD-4832","Dhaka","Hasan & Harun Metal Works","Ekuria","1297","moderate","23.68329","90.41319","0","0","","—","3.2","false","assessed","",""
"BD-5027","Rajshahi","ULAB breaking and recycling work","Bera","1295","moderate","24.00383","89.64866","0","0","","—","3.2","false","assessed","",""
"BD-4924","Khulna","Power Pack Battery Manufacturing","Power Pack Battery M","1277","moderate","22.64312","89.79849","0","0","","—","3.2","false","assessed","",""
"BD-5441","Dhaka","Aluminum breaking and smelting w","Araihajar","1151","moderate","23.78047","90.71409","0","0","","—","2.9","false","assessed","",""
"BD-5102","Rajshahi","ULAB recycling and breaking work","Ishurdi","1148","moderate","24.15489","89.02348","0","0","","—","2.9","false","assessed","",""
"BD-7405","Rajshahi","ULAB breaking and smelting works","Dighipara","1138","moderate","25.31529","89.20243","0","0","","—","2.8","false","assessed","",""
"BD-5300","Rajshahi","Fulahar Lead Battery Smelting","2-katabari","1098","moderate","25.21997","89.31591","0","0","","—","2.7","false","assessed","",""
"BD-4955","Dhaka","ULAB recycling and smelting work","Sreepur","1095","moderate","24.27297","90.36716","0","0","","—","2.7","false","assessed","",""
"BD-7593","Barisal","Lead Smelting site  Kalipura","","1034","moderate","22.18371","90.2713","0","0","","—","2.6","false","assessed","",""
"BD-5152","Rajshahi","ULABs Recycling And Breaking Wor","ULABs Recycling And","998","elevated","24.55259","89.50462","0","0","","—","2.5","false","assessed","",""
"BD-5083","Rajshahi","ULAB recycling and breking works","Bera","991","elevated","24.00882","89.65057","0","0","","—","2.5","false","assessed","",""
"BD-2027","Chittagong","Karnaphuli River","","804","elevated","22.32213","91.83156","0","0","","—","2","false","assessed","",""
"BD-8097","Dhaka","Rubber Recycling & Processing fa","Ruhitpur BSCIC","772","elevated","23.6656","90.30324","0","0","","—","1.9","false","assessed","",""
"BD-4816","Khulna","Gilatala Battery Works","Gilatala","745","elevated","22.92021","89.51068","0","0","","—","1.9","false","assessed","",""
"BD-5101","Chittagong","Lead Battery Works","Paduarbazar","642","elevated","23.41912","91.17362","0","0","","—","1.6","false","assessed","",""
"BD-5345","Rajshahi","ULAB breaking and smelting works","Sadllapur","610","elevated","25.14492","89.25742","0","0","","—","1.5","false","assessed","",""
"BD-4895","Dhaka","ECO Batteries Limited","Sreepur","568","elevated","24.21826","90.45322","0","0","","—","1.4","false","assessed","",""
"BD-8096","Dhaka","Mosquito Coil Manufacturing Fact","Ruhitpur BSCIC","548","elevated","23.66453","90.30635","0","0","","—","1.4","false","assessed","",""
"BD-5352","Rajshahi","Lead Battery Smelting","Korihata","522","elevated","25.21646","89.33201","0","0","","—","1.3","false","assessed","",""
"BD-5023","—","Lead Battery Works","Kalarpole","428","elevated","22.31332","91.87534","0","0","","—","1.1","false","assessed","",""
"BD-5123","Rajshahi","Lead Battery Works","Chandaikona Bazar","372","low","24.55036","89.50626","0","0","","—","0.9","false","assessed","",""
"BD-4652","Dhaka","Tong Rui Da Industry Limited","Zirani Bazar","364","low","23.99119","90.26098","0","0","","—","0.9","false","assessed","",""
"BD-4960","Rajshahi","Lead Smelting Works","Sultanpur","286","low","24.7973","88.94565","0","0","","—","0.7","false","assessed","",""
"BD-5025","Chittagong","Lead Battery Works","Bariarhat","258","low","22.89276","91.53528","0","0","","—","0.6","false","assessed","",""
"BD-5121","Chittagong","Lead Battery Works","Gudirpukorpar","252","low","23.46002","91.20116","0","0","","—","0.6","false","assessed","",""
"BD-8157","Chittagong","Gold Recycling from Jewelry Ashe","Muradnagar","220","low","23.63384","90.94604","0","0","","—","0.6","false","assessed","",""
"BD-5086","Chittagong","Lead Battery Works","Comilla South Sadar","177","low","23.43523","91.17198","0","0","","—","0.4","false","assessed","",""
"BD-5120","Chittagong","Lead Battery Works","Shaktala","165","low","23.44638","91.17638","0","0","","—","0.4","false","assessed","",""
"BD-8156","Chittagong","Gold Recycling from Jewelry Ashe","Muradnagar","144","low","23.63217","90.94157","0","0","","—","0.4","false","assessed","",""
"BD-5100","Chittagong","Lead Battery Works","Elliotganj","97","low","23.51409","90.86784","0","0","","—","0.2","false","assessed","",""
"BD-2767","Dhaka","Lead Poisoning in Tongi Municipa","","25","low","23.89003","90.40729","0","0","","—","0.1","false","assessed","",""
"BD-7315","Dhaka","ULAB breaking and smelting facto","Khaliajhuli","23302","high","24.17858","90.14687","0","0","","—","58.3","false","assessed","",""
"BD-8133","Dhaka","Gold Recycling from Jewellery As","Singair","23302","high","23.80397","90.13766","0","0","","—","58.3","false","assessed","",""
"BD-7385","Rajshahi","ULAB breaking and smelting works","Damadorpur","23302","high","25.31901","89.17352","0","0","","—","58.3","false","assessed","",""
"BD-7367","Dhaka","ULAB Breaking and smelting site","korail union","23302","high","24.56016","90.08144","0","0","","—","58.3","false","assessed","",""
"BD-7299","Dhaka","ULAB Breaking and Smelting Site","Sholakuri Union","23302","high","24.72979","90.08124","0","0","","—","58.3","false","assessed","",""
"BD-7618","Rajshahi","ULAB smelting works","Shapmara","23302","high","25.18101","89.27639","0","0","","—","58.3","false","assessed","",""
"BD-8155","Chittagong","Gold Recycling from Jewelry Ashe","Moydar mill South Ba","23302","high","22.34031","91.84747","0","0","","—","58.3","false","assessed","",""
"BD-7298","Dhaka","ULAB Breaking and Smelting site","9 No Kakraid Union","23302","high","24.63524","90.06051","0","0","","—","58.3","false","assessed","",""
"BD-5344","—","ULAB breaking works","Sadullapur","23302","high","25.34678","89.34063","0","0","","—","58.3","false","assessed","",""
"BD-8162","Dhaka","Local Dyeing factory","Bandi","23302","high","23.80972","90.59114","0","0","","—","58.3","false","assessed","",""
"BD-4945","Rajshahi","Lead Smelting Works","Dhaowapara","23302","high","24.85493","89.39011","0","0","","—","58.3","false","assessed","",""
"BD-7624","Rajshahi","ULAB breaking works","Nurali","23302","high","24.85772","89.3846","0","0","","—","58.3","false","assessed","",""
"BD-7237","Barisal","Angulkata  Smelting Site","Angulkata  Smelting","23302","high","22.1817","90.2387","0","0","","—","58.3","false","assessed","",""
"BD-5165","Dhaka","ULAB breaking and recycling work","Mymensingh sadar","23302","high","24.76136","90.43747","0","0","","—","58.3","false","assessed","",""
"BD-7353","Dhaka","ULAB Breaking site","Mohishmara Union","23302","high","24.54268","90.11269","0","0","","—","58.3","false","assessed","",""
"BD-7350","Khulna","Habib battery breaking and smelt","Habib battery breaki","23302","high","23.0141","89.82951","0","0","","—","58.3","false","assessed","",""
"BD-7316","Dhaka","ULAB breaking and smelting works","Bashtoli","23302","high","24.18312","90.20438","0","0","","—","58.3","false","assessed","",""
"BD-7365","Dhaka","ULAB breaking and smelting works","Kalidas","23302","high","24.29643","90.21033","0","0","","—","58.3","false","assessed","",""
"BD-7174","Dhaka","Lead Smelting works","Modhyapara","23302","high","24.69086","90.46995","0","0","","—","58.3","false","assessed","",""
"BD-7615","Rajshahi","ULAB breaking and smelting works","Fulohar","23302","high","25.2199","89.31591","0","0","","—","58.3","false","assessed","",""
"BD-7403","Rajshahi","ULAB breaking and smelting works","Nobabgonj","23302","high","25.33859","89.13609","0","0","","—","58.3","false","assessed","",""
"BD-7614","Rajshahi","ULAB breaking and smelting works","Rupshi Fakirhat","23302","high","25.63595","89.20415","0","0","","—","58.3","false","assessed","",""
"BD-7570","Rajshahi","ULAB breaking and smelting works","Garagram","23302","high","25.88041","89.09917","0","0","","—","58.3","false","assessed","",""
"BD-7164","Dhaka","Tulshi Lead Acid Battery Recycli","Ukilpara","23302","high","24.88687","90.73341","0","0","","—","58.3","false","assessed","",""
"BD-7489","Rajshahi","ULAB breaking and smelting works","Sayar","23302","high","25.75959","89.05206","0","0","","—","58.3","false","assessed","",""
"BD-7289","Khulna","Janata ULAB recycling site","Janata ULAB recyclin","23302","high","23.8964","89.15208","0","0","","—","58.3","false","assessed","",""
"BD-7366","Dhaka","ULAB breaking and smelting site","shondhanpur union","23302","high","24.51496","90.02828","0","0","","—","58.3","false","assessed","",""
"BD-7482","Rajshahi","ULAB breaking and smelting works","Sayar","23302","high","25.75003","89.04163","0","0","","—","58.3","false","assessed","",""
"BD-7149","Dhaka","Chinese Battery Factory","Valuka","23302","high","24.30611","90.37853","0","0","","—","58.3","false","assessed","",""
"BD-7278","Khulna","Battery Breaking and Smelting si","Battery Breaking and","23302","high","23.13024","89.51848","0","0","","—","58.3","false","assessed","",""
"BD-5622","Dhaka","ULAB breaking and smelting works","Karimganj","23302","high","24.42909","90.88562","0","0","","—","58.3","false","assessed","",""
"BD-7357","Dhaka","ULAB breaking and smelting works","Gorai","23302","high","24.1056","90.14981","0","0","","—","58.3","false","assessed","",""
"BD-7195","Dhaka","ULAB Braking Site","Madhupur Paurashava","23302","high","24.62877","90.02489","0","0","","—","58.3","false","assessed","",""
"BD-7386","Rajshahi","ULAB breaking and smelting works","Mohipur Jotbari","23302","high","25.37516","88.93257","0","0","","—","58.3","false","assessed","",""
"BD-7295","Dhaka","ULAB breaking and smelting facto","Ajgana","23302","high","24.11624","90.20506","0","0","","—","58.3","false","assessed","",""
"BD-7393","Khulna","Shatata Battery House","Shatata Battery Hous","23302","high","24.01748","88.99358","0","0","","—","58.3","false","assessed","",""
"BD-7620","Barisal","Lead Smelting site Patuakhali sa","","23302","high","22.36373","90.33055","0","0","","—","58.3","false","assessed","",""
"BD-7364","Dhaka","ULAB smelting works","Purbopara","23302","high","24.33442","90.21589","0","0","","—","58.3","false","assessed","",""
"BD-5200","Dhaka","Jannat Battery","Madaripur Sadar","23302","high","23.17671","90.20095","0","0","","—","58.3","false","assessed","",""
"BD-5633","Dhaka","ULAB breaking and smelting works","Karimganj","23302","high","24.44039","90.86361","0","0","","—","58.3","false","assessed","",""
"BD-7312","Khulna","Battery works BSCIC","","23302","high","23.88319","89.10287","0","0","","—","58.3","false","assessed","",""
"BD-7253","Khulna","Jakir used battery breaking and","Jakir used battery b","23302","high","23.17396","89.21401","0","0","","—","58.3","false","assessed","",""
"BD-7300","Dhaka","ULAB Smelting Site","Sholakuri Union","23302","high","24.70486","90.1075","0","0","","—","58.3","false","assessed","",""
"BD-7649","Rajshahi","ULAB breaking and smelting works","Dohopara","23302","high","25.00252","89.45663","0","0","","—","58.3","false","assessed","",""
"BD-5552","Chittagong","Arabi Traders","Debidwar","23302","high","23.62847","90.97023","0","0","","—","58.3","false","assessed","",""
"BD-7297","Dhaka","ULAB Breaking and Smelting site","Alukdia union","23302","high","24.57206","90.02763","0","0","","—","58.3","false","assessed","",""
"BD-7304","Khulna","Battery works BSCIC","","23302","high","23.53928","89.1973","0","0","","—","58.3","false","assessed","",""
"BD-7605","Rajshahi","ULAB breaking and smelting works","Balua Masimpur","23302","high","25.56762","89.16365","0","0","","—","58.3","false","assessed","",""
"BD-7239","Khulna","ULAB smelting site","Madhugram","23302","high","23.2104","89.20605","0","0","","—","58.3","false","assessed","",""
